"Header","Principal Entity Name"
"166789","VMAX E"
"166999","Mahindra Integrated Business Solutions"
"167167","Pinnacle Tele Services Private Limited"
"167670","SHAREKHAN LIMITED"
"167676","Indiabulls ventures limited"
"168166","RIGHTSTART BUSINESS PRIVATE LIMITED"
"168168","Pinnacle Tele Services Private Limited"
"168198","CRYSTAL CREDIT TECHNOLOGY PRIVATE LIMITED"
"169169","Pinnacle Tele Services Private Limited"
"169189","CRYSTAL CREDIT TECHNOLOGY PRIVATE LIMITED"
"170000","PAISABAZAAR MARKETING AND CONSULTING PRIVATE LIMITED"
"170170","Pinnacle Tele Services Private Limited"
"171139","C.RAMASAMY & B.SRINIVASAN"
"171171","Pinnacle Tele Services Private Limited"
"171202","MARSH INDIA INSURANCE BROKERS PRIVATE LIMITED"
"171717","Airtel Payments Bank Limited"
"172172","Pinnacle Tele Services Private Limited"
